,date,open,high,low,close,volumn,tic,openinterest,day
972,2021-11-01,174.58,176.07,173.34,167.91,2250400,AXP,0,0
973,2021-11-02,175.0,175.2,172.57,166.9,3252900,AXP,0,1
974,2021-11-03,172.7,173.83,171.75,166.36,3831200,AXP,0,2
975,2021-11-04,172.13,174.02,171.66,166.29,3315400,AXP,0,3
976,2021-11-05,176.18,177.79,175.35,170.3,3936000,AXP,0,4
977,2021-11-08,178.07,182.09,177.79,173.53,3392000,AXP,0,0
978,2021-11-09,179.76,181.19,178.43,173.35,3203300,AXP,0,1
979,2021-11-10,179.36,183.48,179.36,174.83,3296700,AXP,0,2
980,2021-11-11,181.99,182.73,180.74,174.74,2119700,AXP,0,3
981,2021-11-12,180.71,182.38,179.65,175.31,2390200,AXP,0,4
982,2021-11-15,182.53,183.93,182.04,176.5,1748300,AXP,0,0
983,2021-11-16,183.4,183.4,179.74,174.37,3299200,AXP,0,1
984,2021-11-17,181.18,181.74,178.2,173.11,3543500,AXP,0,2
985,2021-11-18,180.0,180.37,175.84,169.83,4011500,AXP,0,3
986,2021-11-19,173.73,175.27,171.84,167.26,4456500,AXP,0,4
